trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
142,False,"{'a': 0.1, 'e': 0.28999999999999937}",20,14,10.23523835044055,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.1, 'e': 0.28499999999999936}",25,5,14.152939874393414,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
144,False,"{'a': 0.1, 'e': 0.27999999999999936}",25,9,29.466093877451485,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.1, 'e': 0.27499999999999936}",25,0,-16.86894269683756,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
146,False,"{'a': 0.1, 'e': 0.26999999999999935}",20,14,9.815455513121144,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.1, 'e': 0.26499999999999935}",30,10,26.155285194197642,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
148,False,"{'a': 0.1, 'e': 0.25999999999999934}",30,19,8.653936680304367,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.1, 'e': 0.25499999999999934}",20,10,5.211131721872668,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
150,False,"{'a': 0.1, 'e': 0.24999999999999933}",20,3,7.971850430130367,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
151,False,"{'a': 0.1, 'e': 0.24499999999999933}",20,6,11.972859103211333,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
152,False,"{'a': 0.1, 'e': 0.23999999999999932}",20,2,19.654608308303164,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
153,False,"{'a': 0.1, 'e': 0.23499999999999932}",20,8,9.329901704644234,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
154,False,"{'a': 0.1, 'e': 0.22999999999999932}",25,5,31.704033581814578,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.1, 'e': 0.2249999999999993}",25,16,12.82989168250595,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.1, 'e': 0.2199999999999993}",20,0,23.9193245049942,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
157,False,"{'a': 0.1, 'e': 0.2149999999999993}",25,9,28.49079150487758,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.1, 'e': 0.2099999999999993}",20,0,16.862716329852496,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
159,False,"{'a': 0.1, 'e': 0.2049999999999993}",20,4,23.306190271694874,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.1, 'e': 0.1999999999999993}",25,7,-23.349550196087414,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
161,False,"{'a': 0.1, 'e': 0.19499999999999929}",25,7,-1.1102852990364669,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 0}",1
162,False,"{'a': 0.1, 'e': 0.18999999999999928}",25,10,17.164989992257276,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
163,False,"{'a': 0.1, 'e': 0.18499999999999928}",25,9,9.76092527953176,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
164,False,"{'a': 0.1, 'e': 0.17999999999999927}",20,5,-22.7964002837383,"{0: 12, 1: 0, 2: 2, 3: 1, 4: 0}",1
165,False,"{'a': 0.1, 'e': 0.17499999999999927}",20,16,9.305017584654426,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.1, 'e': 0.16999999999999926}",35,13,2.540679708549211,"{0: 19, 1: 1, 2: 1, 3: 1, 4: 0}",1
167,False,"{'a': 0.1, 'e': 0.16499999999999926}",20,0,-12.477230407148513,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
168,False,"{'a': 0.1, 'e': 0.15999999999999925}",25,11,19.274245059004844,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.1, 'e': 0.15499999999999925}",30,12,33.493756638277006,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.1, 'e': 0.14999999999999925}",30,16,21.453885970435866,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.1, 'e': 0.14499999999999924}",20,13,12.393408473267174,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.1, 'e': 0.13999999999999924}",25,17,18.55012897499573,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.1, 'e': 0.13499999999999923}",20,8,0.9647468697978534,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
174,False,"{'a': 0.1, 'e': 0.12999999999999923}",30,14,24.1862207510401,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.1, 'e': 0.12499999999999922}",25,14,22.207907171620082,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.1, 'e': 0.11999999999999922}",20,8,9.799166348251148,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
177,False,"{'a': 0.1, 'e': 0.11499999999999921}",25,15,22.18444601442246,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.1, 'e': 0.10999999999999921}",20,14,12.574946367928765,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
